./blade_send_tone using device at /dev/bladerf0
generating user frequency of 10000.000 Hz
Device /dev/bladerf0 opened successfully
requested 8.000000 Msps, was givin 8.000000 Msps
requested 4.000000 MHz BW, was givin 5.000000 MHz
 radian_rate = 0.007854
 Main Loop Starting.. sending samples..
 Running in debug mode.. 
 PHASE       [ I  ,  Q ]  ( i sample, q sample )
phase=0.455531 [ 0.898028, 0.439939 ]    ( 0x704, 0x36f )
phase=0.463385 [ 0.894545, 0.446979 ]    ( 0x6fd, 0x37d )
phase=0.471239 [ 0.891007, 0.453990 ]    ( 0x6f6, 0x38b )
phase=0.479093 [ 0.887413, 0.460974 ]    ( 0x6ee, 0x399 )
phase=0.486947 [ 0.883766, 0.467930 ]    ( 0x6e7, 0x3a7 )
phase=0.494801 [ 0.880063, 0.474856 ]    ( 0x6e0, 0x3b5 )
phase=0.502655 [ 0.876307, 0.481754 ]    ( 0x6d8, 0x3c3 )
phase=0.510509 [ 0.872496, 0.488621 ]    ( 0x6d0, 0x3d1 )
phase=0.518363 [ 0.868632, 0.495459 ]    ( 0x6c9, 0x3de )
phase=0.526217 [ 0.864713, 0.502266 ]    ( 0x6c1, 0x3ec )
phase=0.534071 [ 0.860742, 0.509041 ]    ( 0x6b9, 0x3fa )
phase=0.541925 [ 0.856718, 0.515786 ]    ( 0x6b1, 0x407 )
phase=0.549779 [ 0.852640, 0.522499 ]    ( 0x6a9, 0x414 )
phase=0.557633 [ 0.848510, 0.529179 ]    ( 0x6a1, 0x422 )
phase=0.565487 [ 0.844328, 0.535827 ]    ( 0x698, 0x42f )
phase=0.573341 [ 0.840094, 0.542442 ]    ( 0x690, 0x43c )
phase=0.581195 [ 0.835807, 0.549023 ]    ( 0x687, 0x44a )
phase=0.589049 [ 0.831470, 0.555570 ]    ( 0x67e, 0x457 )
phase=0.596903 [ 0.827081, 0.562083 ]    ( 0x676, 0x464 )
phase=0.604757 [ 0.822641, 0.568562 ]    ( 0x66d, 0x471 )
phase=0.612611 [ 0.818150, 0.575005 ]    ( 0x664, 0x47e )
phase=0.620465 [ 0.813608, 0.581413 ]    ( 0x65b, 0x48a )
phase=0.628319 [ 0.809017, 0.587785 ]    ( 0x652, 0x497 )
phase=0.636173 [ 0.804376, 0.594121 ]    ( 0x648, 0x4a4 )
phase=0.644026 [ 0.799685, 0.600420 ]    ( 0x63f, 0x4b0 )
phase=0.651880 [ 0.794944, 0.606682 ]    ( 0x635, 0x4bd )
phase=0.659734 [ 0.790155, 0.612907 ]    ( 0x62c, 0x4c9 )
phase=0.667588 [ 0.785317, 0.619094 ]    ( 0x622, 0x4d6 )
phase=0.675442 [ 0.780430, 0.625243 ]    ( 0x618, 0x4e2 )
phase=0.683296 [ 0.775496, 0.631353 ]    ( 0x60e, 0x4ee )
phase=0.691150 [ 0.770513, 0.637424 ]    ( 0x605, 0x4fa )
phase=0.699004 [ 0.765483, 0.643456 ]    ( 0x5fa, 0x506 )
phase=0.706858 [ 0.760406, 0.649448 ]    ( 0x5f0, 0x512 )
phase=0.714712 [ 0.755282, 0.655400 ]    ( 0x5e6, 0x51e )
phase=0.722566 [ 0.750111, 0.661312 ]    ( 0x5dc, 0x52a )
phase=0.730420 [ 0.744894, 0.667183 ]    ( 0x5d1, 0x536 )
phase=0.738274 [ 0.739631, 0.673013 ]    ( 0x5c7, 0x542 )
phase=0.746128 [ 0.734323, 0.678801 ]    ( 0x5bc, 0x54d )
phase=0.753982 [ 0.728969, 0.684547 ]    ( 0x5b1, 0x559 )
phase=0.761836 [ 0.723570, 0.690251 ]    ( 0x5a7, 0x564 )
phase=0.769690 [ 0.718126, 0.695913 ]    ( 0x59c, 0x56f )
phase=0.777544 [ 0.712639, 0.701531 ]    ( 0x591, 0x57b )
phase=0.785398 [ 0.707107, 0.707107 ]    ( 0x586, 0x586 )
phase=0.793252 [ 0.701531, 0.712639 ]    ( 0x57b, 0x591 )
phase=0.801106 [ 0.695913, 0.718126 ]    ( 0x56f, 0x59c )
phase=0.808960 [ 0.690251, 0.723570 ]    ( 0x564, 0x5a7 )
phase=0.816814 [ 0.684547, 0.728969 ]    ( 0x559, 0x5b1 )
phase=0.824668 [ 0.678801, 0.734323 ]    ( 0x54d, 0x5bc )
phase=0.832522 [ 0.673013, 0.739631 ]    ( 0x542, 0x5c7 )
phase=0.840376 [ 0.667183, 0.744894 ]    ( 0x536, 0x5d1 )
phase=0.848230 [ 0.661312, 0.750111 ]    ( 0x52a, 0x5dc )
phase=0.856084 [ 0.655400, 0.755282 ]    ( 0x51e, 0x5e6 )
phase=0.863938 [ 0.649448, 0.760406 ]    ( 0x512, 0x5f0 )
phase=0.871792 [ 0.643456, 0.765483 ]    ( 0x506, 0x5fa )
phase=0.879646 [ 0.637424, 0.770513 ]    ( 0x4fa, 0x605 )
phase=0.887500 [ 0.631353, 0.775496 ]    ( 0x4ee, 0x60e )
phase=0.895354 [ 0.625243, 0.780430 ]    ( 0x4e2, 0x618 )
phase=0.903208 [ 0.619094, 0.785317 ]    ( 0x4d6, 0x622 )
phase=0.911062 [ 0.612907, 0.790155 ]    ( 0x4c9, 0x62c )
phase=0.918916 [ 0.606682, 0.794944 ]    ( 0x4bd, 0x635 )
phase=0.926770 [ 0.600420, 0.799685 ]    ( 0x4b0, 0x63f )
phase=0.934624 [ 0.594121, 0.804376 ]    ( 0x4a4, 0x648 )
phase=0.942478 [ 0.587785, 0.809017 ]    ( 0x497, 0x652 )
phase=0.950332 [ 0.581413, 0.813608 ]    ( 0x48a, 0x65b )
phase=0.958186 [ 0.575005, 0.818150 ]    ( 0x47e, 0x664 )
phase=0.966040 [ 0.568562, 0.822641 ]    ( 0x471, 0x66d )
phase=0.973894 [ 0.562083, 0.827081 ]    ( 0x464, 0x676 )
phase=0.981748 [ 0.555570, 0.831470 ]    ( 0x457, 0x67e )
phase=0.989602 [ 0.549023, 0.835807 ]    ( 0x44a, 0x687 )
phase=0.997456 [ 0.542442, 0.840094 ]    ( 0x43c, 0x690 )
phase=1.005310 [ 0.535827, 0.844328 ]    ( 0x42f, 0x698 )
phase=1.013164 [ 0.529179, 0.848510 ]    ( 0x422, 0x6a1 )
phase=1.021018 [ 0.522499, 0.852640 ]    ( 0x414, 0x6a9 )
phase=1.028872 [ 0.515786, 0.856718 ]    ( 0x407, 0x6b1 )
phase=1.036726 [ 0.509041, 0.860742 ]    ( 0x3fa, 0x6b9 )
phase=1.044580 [ 0.502266, 0.864713 ]    ( 0x3ec, 0x6c1 )
phase=1.052434 [ 0.495459, 0.868632 ]    ( 0x3de, 0x6c9 )
phase=1.060288 [ 0.488621, 0.872496 ]    ( 0x3d1, 0x6d0 )
phase=1.068142 [ 0.481754, 0.876307 ]    ( 0x3c3, 0x6d8 )
phase=1.075995 [ 0.474856, 0.880063 ]    ( 0x3b5, 0x6e0 )
phase=1.083849 [ 0.467930, 0.883766 ]    ( 0x3a7, 0x6e7 )
phase=1.091703 [ 0.460974, 0.887413 ]    ( 0x399, 0x6ee )
phase=1.099557 [ 0.453991, 0.891007 ]    ( 0x38b, 0x6f6 )
phase=1.107411 [ 0.446979, 0.894545 ]    ( 0x37d, 0x6fd )
phase=1.115265 [ 0.439939, 0.898028 ]    ( 0x36f, 0x704 )
phase=1.123119 [ 0.432873, 0.901455 ]    ( 0x361, 0x70a )
phase=1.130973 [ 0.425779, 0.904827 ]    ( 0x353, 0x711 )
phase=1.138827 [ 0.418660, 0.908143 ]    ( 0x345, 0x718 )
phase=1.146681 [ 0.411514, 0.911403 ]    ( 0x337, 0x71e )
phase=1.154535 [ 0.404344, 0.914607 ]    ( 0x328, 0x725 )
phase=1.162389 [ 0.397148, 0.917755 ]    ( 0x31a, 0x72b )
phase=1.170243 [ 0.389928, 0.920845 ]    ( 0x30b, 0x731 )
phase=1.178097 [ 0.382683, 0.923880 ]    ( 0x2fd, 0x737 )
phase=1.185951 [ 0.375416, 0.926857 ]    ( 0x2ee, 0x73d )
phase=1.193805 [ 0.368125, 0.929776 ]    ( 0x2e0, 0x743 )
phase=1.201659 [ 0.360811, 0.932639 ]    ( 0x2d1, 0x749 )
phase=1.209513 [ 0.353475, 0.935444 ]    ( 0x2c2, 0x74e )
phase=1.217367 [ 0.346117, 0.938191 ]    ( 0x2b4, 0x754 )
phase=1.225221 [ 0.338738, 0.940881 ]    ( 0x2a5, 0x759 )
phase=1.233075 [ 0.331338, 0.943512 ]    ( 0x296, 0x75f )
phase=1.240929 [ 0.323917, 0.946085 ]    ( 0x287, 0x764 )
phase=1.248783 [ 0.316477, 0.948600 ]    ( 0x278, 0x769 )
phase=1.256637 [ 0.309017, 0.951057 ]    ( 0x26a, 0x76e )
phase=1.264491 [ 0.301538, 0.953454 ]    ( 0x25b, 0x772 )
phase=1.272345 [ 0.294040, 0.955793 ]    ( 0x24c, 0x777 )
phase=1.280199 [ 0.286525, 0.958073 ]    ( 0x23d, 0x77c )
phase=1.288053 [ 0.278991, 0.960294 ]    ( 0x22d, 0x780 )
phase=1.295907 [ 0.271440, 0.962455 ]    ( 0x21e, 0x784 )
phase=1.303761 [ 0.263873, 0.964557 ]    ( 0x20f, 0x789 )
phase=1.311615 [ 0.256289, 0.966600 ]    ( 0x200, 0x78d )
phase=1.319469 [ 0.248690, 0.968583 ]    ( 0x1f1, 0x791 )
phase=1.327323 [ 0.241075, 0.970506 ]    ( 0x1e2, 0x795 )
phase=1.335177 [ 0.233445, 0.972370 ]    ( 0x1d2, 0x798 )
phase=1.343031 [ 0.225801, 0.974173 ]    ( 0x1c3, 0x79c )
phase=1.350885 [ 0.218143, 0.975917 ]    ( 0x1b4, 0x79f )
phase=1.358739 [ 0.210472, 0.977600 ]    ( 0x1a4, 0x7a3 )
phase=1.366593 [ 0.202787, 0.979223 ]    ( 0x195, 0x7a6 )
phase=1.374447 [ 0.195090, 0.980785 ]    ( 0x186, 0x7a9 )
phase=1.382301 [ 0.187381, 0.982287 ]    ( 0x176, 0x7ac )
phase=1.390155 [ 0.179661, 0.983729 ]    ( 0x167, 0x7af )
phase=1.398009 [ 0.171929, 0.985109 ]    ( 0x157, 0x7b2 )
phase=1.405863 [ 0.164187, 0.986429 ]    ( 0x148, 0x7b4 )
phase=1.413717 [ 0.156434, 0.987688 ]    ( 0x138, 0x7b7 )
phase=1.421571 [ 0.148672, 0.988886 ]    ( 0x129, 0x7b9 )
phase=1.429425 [ 0.140901, 0.990024 ]    ( 0x119, 0x7bc )
phase=1.437279 [ 0.133121, 0.991100 ]    ( 0x10a, 0x7be )
phase=1.445133 [ 0.125333, 0.992115 ]    ( 0x0fa, 0x7c0 )
phase=1.452987 [ 0.117537, 0.993068 ]    ( 0x0eb, 0x7c2 )
phase=1.460841 [ 0.109734, 0.993961 ]    ( 0x0db, 0x7c3 )
phase=1.468695 [ 0.101924, 0.994792 ]    ( 0x0cb, 0x7c5 )
phase=1.476549 [ 0.094108, 0.995562 ]    ( 0x0bc, 0x7c7 )
phase=1.484403 [ 0.086286, 0.996270 ]    ( 0x0ac, 0x7c8 )
phase=1.492257 [ 0.078459, 0.996917 ]    ( 0x09c, 0x7c9 )
phase=1.500110 [ 0.070627, 0.997503 ]    ( 0x08d, 0x7cb )
phase=1.507964 [ 0.062791, 0.998027 ]    ( 0x07d, 0x7cc )
phase=1.515818 [ 0.054950, 0.998489 ]    ( 0x06d, 0x7cc )
phase=1.523672 [ 0.047106, 0.998890 ]    ( 0x05e, 0x7cd )
phase=1.531526 [ 0.039260, 0.999229 ]    ( 0x04e, 0x7ce )
phase=1.539380 [ 0.031411, 0.999507 ]    ( 0x03e, 0x7cf )
phase=1.547234 [ 0.023560, 0.999722 ]    ( 0x02f, 0x7cf )
phase=1.555088 [ 0.015707, 0.999877 ]    ( 0x01f, 0x7cf )
phase=1.562942 [ 0.007854, 0.999969 ]    ( 0x00f, 0x7cf )
phase=1.570796 [ 0.000000, 1.000000 ]    ( 0x000, 0x7d0 )
phase=1.578650 [ -0.007854, 0.999969 ]    ( 0xff1, 0x7cf )
phase=1.586504 [ -0.015707, 0.999877 ]    ( 0xfe1, 0x7cf )
phase=1.594358 [ -0.023560, 0.999722 ]    ( 0xfd1, 0x7cf )
phase=1.602212 [ -0.031411, 0.999507 ]    ( 0xfc2, 0x7cf )
phase=1.610066 [ -0.039260, 0.999229 ]    ( 0xfb2, 0x7ce )
phase=1.617920 [ -0.047106, 0.998890 ]    ( 0xfa2, 0x7cd )
phase=1.625774 [ -0.054950, 0.998489 ]    ( 0xf93, 0x7cc )
phase=1.633628 [ -0.062791, 0.998027 ]    ( 0xf83, 0x7cc )
phase=1.641482 [ -0.070627, 0.997503 ]    ( 0xf73, 0x7cb )
phase=1.649336 [ -0.078459, 0.996917 ]    ( 0xf64, 0x7c9 )
phase=1.657190 [ -0.086286, 0.996270 ]    ( 0xf54, 0x7c8 )
phase=1.665044 [ -0.094108, 0.995562 ]    ( 0xf44, 0x7c7 )
phase=1.672898 [ -0.101924, 0.994792 ]    ( 0xf35, 0x7c5 )
phase=1.680752 [ -0.109734, 0.993961 ]    ( 0xf25, 0x7c3 )
phase=1.688606 [ -0.117537, 0.993068 ]    ( 0xf15, 0x7c2 )
phase=1.696460 [ -0.125333, 0.992115 ]    ( 0xf06, 0x7c0 )
phase=1.704314 [ -0.133121, 0.991100 ]    ( 0xef6, 0x7be )
phase=1.712168 [ -0.140901, 0.990024 ]    ( 0xee7, 0x7bc )
phase=1.720022 [ -0.148672, 0.988886 ]    ( 0xed7, 0x7b9 )
phase=1.727876 [ -0.156434, 0.987688 ]    ( 0xec8, 0x7b7 )
phase=1.735730 [ -0.164187, 0.986429 ]    ( 0xeb8, 0x7b4 )
phase=1.743584 [ -0.171929, 0.985109 ]    ( 0xea9, 0x7b2 )
phase=1.751438 [ -0.179661, 0.983729 ]    ( 0xe99, 0x7af )
phase=1.759292 [ -0.187381, 0.982287 ]    ( 0xe8a, 0x7ac )
phase=1.767146 [ -0.195090, 0.980785 ]    ( 0xe7a, 0x7a9 )
phase=1.775000 [ -0.202787, 0.979223 ]    ( 0xe6b, 0x7a6 )
phase=1.782854 [ -0.210472, 0.977600 ]    ( 0xe5c, 0x7a3 )
phase=1.790708 [ -0.218143, 0.975917 ]    ( 0xe4c, 0x79f )
phase=1.798562 [ -0.225801, 0.974173 ]    ( 0xe3d, 0x79c )
phase=1.806416 [ -0.233445, 0.972370 ]    ( 0xe2e, 0x798 )
phase=1.814270 [ -0.241075, 0.970506 ]    ( 0xe1e, 0x795 )
phase=1.822124 [ -0.248690, 0.968583 ]    ( 0xe0f, 0x791 )
phase=1.829978 [ -0.256289, 0.966600 ]    ( 0xe00, 0x78d )
phase=1.837832 [ -0.263873, 0.964557 ]    ( 0xdf1, 0x789 )
phase=1.845686 [ -0.271440, 0.962455 ]    ( 0xde2, 0x784 )
phase=1.853540 [ -0.278991, 0.960294 ]    ( 0xdd3, 0x780 )
phase=1.861394 [ -0.286525, 0.958073 ]    ( 0xdc3, 0x77c )
phase=1.869248 [ -0.294040, 0.955793 ]    ( 0xdb4, 0x777 )
phase=1.877102 [ -0.301538, 0.953454 ]    ( 0xda5, 0x772 )
phase=1.884956 [ -0.309017, 0.951057 ]    ( 0xd96, 0x76e )
phase=1.892810 [ -0.316477, 0.948600 ]    ( 0xd88, 0x769 )
phase=1.900664 [ -0.323917, 0.946085 ]    ( 0xd79, 0x764 )
phase=1.908518 [ -0.331338, 0.943512 ]    ( 0xd6a, 0x75f )
phase=1.916372 [ -0.338738, 0.940881 ]    ( 0xd5b, 0x759 )
phase=1.924225 [ -0.346117, 0.938191 ]    ( 0xd4c, 0x754 )
phase=1.932079 [ -0.353475, 0.935444 ]    ( 0xd3e, 0x74e )
phase=1.939933 [ -0.360811, 0.932639 ]    ( 0xd2f, 0x749 )
phase=1.947787 [ -0.368125, 0.929776 ]    ( 0xd20, 0x743 )
phase=1.955641 [ -0.375416, 0.926857 ]    ( 0xd12, 0x73d )
phase=1.963495 [ -0.382683, 0.923880 ]    ( 0xd03, 0x737 )
phase=1.971349 [ -0.389928, 0.920845 ]    ( 0xcf5, 0x731 )
phase=1.979203 [ -0.397148, 0.917755 ]    ( 0xce6, 0x72b )
phase=1.987057 [ -0.404344, 0.914607 ]    ( 0xcd8, 0x725 )
phase=1.994911 [ -0.411514, 0.911403 ]    ( 0xcc9, 0x71e )
phase=2.002765 [ -0.418660, 0.908143 ]    ( 0xcbb, 0x718 )
phase=2.010619 [ -0.425779, 0.904827 ]    ( 0xcad, 0x711 )
phase=2.018473 [ -0.432873, 0.901455 ]    ( 0xc9f, 0x70a )
phase=2.026327 [ -0.439939, 0.898028 ]    ( 0xc91, 0x704 )
phase=2.034181 [ -0.446979, 0.894545 ]    ( 0xc83, 0x6fd )
phase=2.042035 [ -0.453990, 0.891007 ]    ( 0xc75, 0x6f6 )
phase=2.049889 [ -0.460974, 0.887413 ]    ( 0xc67, 0x6ee )
phase=2.057743 [ -0.467930, 0.883766 ]    ( 0xc59, 0x6e7 )
phase=2.065597 [ -0.474856, 0.880063 ]    ( 0xc4b, 0x6e0 )
phase=2.073451 [ -0.481754, 0.876307 ]    ( 0xc3d, 0x6d8 )
phase=2.081305 [ -0.488621, 0.872496 ]    ( 0xc2f, 0x6d0 )
phase=2.089159 [ -0.495459, 0.868632 ]    ( 0xc22, 0x6c9 )
phase=2.097013 [ -0.502266, 0.864713 ]    ( 0xc14, 0x6c1 )
phase=2.104867 [ -0.509041, 0.860742 ]    ( 0xc06, 0x6b9 )
phase=2.112721 [ -0.515786, 0.856718 ]    ( 0xbf9, 0x6b1 )
phase=2.120575 [ -0.522499, 0.852640 ]    ( 0xbec, 0x6a9 )
phase=2.128429 [ -0.529179, 0.848510 ]    ( 0xbde, 0x6a1 )
phase=2.136283 [ -0.535827, 0.844328 ]    ( 0xbd1, 0x698 )
phase=2.144137 [ -0.542442, 0.840094 ]    ( 0xbc4, 0x690 )
phase=2.151991 [ -0.549023, 0.835807 ]    ( 0xbb6, 0x687 )
phase=2.159845 [ -0.555570, 0.831470 ]    ( 0xba9, 0x67e )
phase=2.167699 [ -0.562083, 0.827081 ]    ( 0xb9c, 0x676 )
phase=2.175553 [ -0.568562, 0.822641 ]    ( 0xb8f, 0x66d )
phase=2.183407 [ -0.575005, 0.818150 ]    ( 0xb82, 0x664 )
phase=2.191261 [ -0.581413, 0.813608 ]    ( 0xb76, 0x65b )
phase=2.199115 [ -0.587785, 0.809017 ]    ( 0xb69, 0x652 )
phase=2.206969 [ -0.594121, 0.804376 ]    ( 0xb5c, 0x648 )
phase=2.214823 [ -0.600420, 0.799685 ]    ( 0xb50, 0x63f )
phase=2.222677 [ -0.606682, 0.794944 ]    ( 0xb43, 0x635 )
phase=2.230531 [ -0.612907, 0.790155 ]    ( 0xb37, 0x62c )
phase=2.238385 [ -0.619094, 0.785317 ]    ( 0xb2a, 0x622 )
phase=2.246239 [ -0.625243, 0.780430 ]    ( 0xb1e, 0x618 )
phase=2.254093 [ -0.631353, 0.775496 ]    ( 0xb12, 0x60e )
phase=2.261947 [ -0.637424, 0.770513 ]    ( 0xb06, 0x605 )
phase=2.269801 [ -0.643456, 0.765483 ]    ( 0xafa, 0x5fa )
phase=2.277655 [ -0.649448, 0.760406 ]    ( 0xaee, 0x5f0 )
phase=2.285509 [ -0.655400, 0.755282 ]    ( 0xae2, 0x5e6 )
phase=2.293363 [ -0.661312, 0.750111 ]    ( 0xad6, 0x5dc )
phase=2.301217 [ -0.667183, 0.744894 ]    ( 0xaca, 0x5d1 )
phase=2.309071 [ -0.673013, 0.739631 ]    ( 0xabe, 0x5c7 )
phase=2.316925 [ -0.678801, 0.734323 ]    ( 0xab3, 0x5bc )
phase=2.324779 [ -0.684547, 0.728969 ]    ( 0xaa7, 0x5b1 )
phase=2.332633 [ -0.690251, 0.723570 ]    ( 0xa9c, 0x5a7 )
phase=2.340487 [ -0.695913, 0.718126 ]    ( 0xa91, 0x59c )
phase=2.348341 [ -0.701531, 0.712639 ]    ( 0xa85, 0x591 )
phase=2.356194 [ -0.707107, 0.707107 ]    ( 0xa7a, 0x586 )
phase=2.364048 [ -0.712639, 0.701531 ]    ( 0xa6f, 0x57b )
phase=2.371902 [ -0.718126, 0.695913 ]    ( 0xa64, 0x56f )
phase=2.379756 [ -0.723570, 0.690251 ]    ( 0xa59, 0x564 )
phase=2.387610 [ -0.728969, 0.684547 ]    ( 0xa4f, 0x559 )
phase=2.395464 [ -0.734323, 0.678801 ]    ( 0xa44, 0x54d )
phase=2.403318 [ -0.739631, 0.673013 ]    ( 0xa39, 0x542 )
phase=2.411172 [ -0.744894, 0.667183 ]    ( 0xa2f, 0x536 )
phase=2.419026 [ -0.750111, 0.661312 ]    ( 0xa24, 0x52a )
phase=2.426880 [ -0.755282, 0.655400 ]    ( 0xa1a, 0x51e )
phase=2.434734 [ -0.760406, 0.649448 ]    ( 0xa10, 0x512 )
phase=2.442588 [ -0.765483, 0.643456 ]    ( 0xa06, 0x506 )
phase=2.450442 [ -0.770513, 0.637424 ]    ( 0x9fb, 0x4fa )
phase=2.458296 [ -0.775496, 0.631353 ]    ( 0x9f2, 0x4ee )
phase=2.466150 [ -0.780430, 0.625243 ]    ( 0x9e8, 0x4e2 )
phase=2.474004 [ -0.785317, 0.619094 ]    ( 0x9de, 0x4d6 )
phase=2.481858 [ -0.790155, 0.612907 ]    ( 0x9d4, 0x4c9 )
phase=2.489712 [ -0.794944, 0.606682 ]    ( 0x9cb, 0x4bd )
phase=2.497566 [ -0.799685, 0.600420 ]    ( 0x9c1, 0x4b0 )
phase=2.505420 [ -0.804376, 0.594121 ]    ( 0x9b8, 0x4a4 )
phase=2.513274 [ -0.809017, 0.587785 ]    ( 0x9ae, 0x497 )
phase=2.521128 [ -0.813608, 0.581413 ]    ( 0x9a5, 0x48a )
phase=2.528982 [ -0.818150, 0.575005 ]    ( 0x99c, 0x47e )
phase=2.536836 [ -0.822641, 0.568562 ]    ( 0x993, 0x471 )
phase=2.544690 [ -0.827081, 0.562083 ]    ( 0x98a, 0x464 )
phase=2.552544 [ -0.831470, 0.555570 ]    ( 0x982, 0x457 )
phase=2.560398 [ -0.835807, 0.549023 ]    ( 0x979, 0x44a )
phase=2.568252 [ -0.840094, 0.542442 ]    ( 0x970, 0x43c )
phase=2.576106 [ -0.844328, 0.535827 ]    ( 0x968, 0x42f )
phase=2.583960 [ -0.848510, 0.529179 ]    ( 0x95f, 0x422 )
phase=2.591814 [ -0.852640, 0.522499 ]    ( 0x957, 0x414 )
phase=2.599668 [ -0.856718, 0.515786 ]    ( 0x94f, 0x407 )
phase=2.607522 [ -0.860742, 0.509041 ]    ( 0x947, 0x3fa )
phase=2.615376 [ -0.864713, 0.502266 ]    ( 0x93f, 0x3ec )
